,titles,subtitles,links
0,WONDER BRA,Chloe Kelly to FRAME iconic sports bra as England hero reveals shock inspiration,https://www.thesun.co.uk/sport/football/19391350/chloe-kelly-euro-2022-bra-bobby-zamora/
1,BEING FRENK,Man Utd blow as Bara chief reveals there’s a ‘strong possibility' De Jong STAYS,https://www.thesun.co.uk/sport/19392582/frenkie-de-jong-transfer-stay-barcelona-man-utd/
2,FUL STEAM AHEAD,Arsenal star Bernd Leno to join Fulham for £8m this week on three-year deal,https://www.thesun.co.uk/sport/football/19392320/arsenal-bernd-leno-fulham-transfer-2/
3,LET'S SKO,Chelsea in talks over swap deal involving Timo Werner for Josko Gvardiol,https://www.thesun.co.uk/sport/football/19392621/chelsea-werner-gvardiol-transfer-swap/
4,STONE THE CROWS,Man Utd in talks to sign Huddlestone in shock free transfer after Hull exit,https://www.thesun.co.uk/sport/football/19391462/man-utd-tom-huddlestone-transfer-player-coach-u21s/
5,GOALDEN ARCHES,England hero Mead celebrates Euro 2022 win with a MASSIVE McDonald's feast,https://www.thesun.co.uk/sport/football/19391038/beth-mead-england-euros-awards-mcdonalds-picture/
6,A PRINCE'S APPROVAL,What Prince William told Lionesses as he hugged them following Euro win,https://www.thesun.co.uk/sport/football/19392619/prince-william-lionesses-england-euro-final-win/
7,ELL OF A PLAYER,Toone's school coach on how he celebrated Euros goal before it hit net,https://www.thesun.co.uk/sport/19387614/england-euros-hero-ella-toone-coach-celebrate/
8,ON THE LASHES,Ella Toone to celebrate Euro final by getting lashes done and going to Ibiza,https://www.thesun.co.uk/sport/football/19387975/ella-toone-euro-final-lashes-ibiza/
9,BEER WIE GO,Bronze tells boss Wiegman to keep boozing as Lionesses set sights on World Cup,https://www.thesun.co.uk/sport/football/19391653/lucy-bronze-sarina-wiegman-boozing-lionesses-world-cup/
10,NO GLAZ-ING OVER,Man Utd fans planning anti-Glazer protest ahead of Ten Hag's first game,https://www.thesun.co.uk/sport/football/19392822/man-utd-glazer-protest-ten-hag/
11,RIP YOGI,Tributes paid to Celtic icon John 'Yogi' Hughes after his death aged 79,https://www.thesun.co.uk/sport/football/19392381/celtic-john-yogi-hughes-dead-79/
12,NICE-LY DONE,Aaron Ramsey hails ‘new chapter’ as French side Nice confirm free transfer,https://www.thesun.co.uk/sport/football/19391811/aaron-ramsey-signs-nice-free-transfer/
13,AL CHANGE,Sanchez terminating Inter Milan contract to seal free transfer to Marseille,https://www.thesun.co.uk/sport/football/19392441/man-utd-arsenal-alexis-sanchez-inter-milan-transfer-marseille/
14,KOUL DUDE,John Terry's amazing answer when Koulibaly asks him if he can take his No26 shirt,https://www.thesun.co.uk/sport/football/19390716/chelsea-kalidou-koulibaly-john-terry-shirt-number-video/
15,WATFORD 1 SHEFF UTD 0,Hornets off to flier under new boss Edwards as Pedro stings Blades,https://www.thesun.co.uk/sport/football/19391355/watford-1-sheff-utd-0-joao-pedro-rob-edwards/
16,SILVA LINING,Broke Barca sell club’s TV studios for £85m as they look to fund Silva deal,https://www.thesun.co.uk/sport/football/19390805/barcelona-tv-studios-transfer-bernardo-silva/
17,CHRIS CHASE,Eriksen reveals he joined Man Utd at FOURTH time of asking over Spurs loyalty,https://www.thesun.co.uk/sport/19386599/christian-eriksen-man-utd-transfer-tottenham-fourth/
18,GERMAN REF BLAST,Furious Germany claim they should have had penalty and say England cheated,https://www.thesun.co.uk/sport/19383050/england-euro-final-germany-angry-handball/
19,'DAME JILL',BBC apologise for Jill Scott’s X-rated Euro blast after foul - but fans love it,https://www.thesun.co.uk/sport/football/19383140/bbc-apologise-england-jill-scott-euro-2022/
20,DARWIN'S EVOLUTION,3 lessons Dream Team managers learned from the Community Shield showdown,https://www.thesun.co.uk/dream-team/fantasy-football/19384807/manchester-city-liverpool-community-shield-fantasy-football-haaland/
